Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
rsp_lg,6001,1738,1738.0,6001.0,

Kills:,0
Deaths:,0
Fight Time:,0.0
Time Remaining:,0.0
Avg TTK:,0.0
Damage Done:,1738.0
Total Overshots:,0
Damage Taken:,0.0
Hit Count:,1738
Miss Count:,4263
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,5214.0
Scenario:,Smooth Thin Strafes Raspberry Easy
Hash:,3c6a8ea2f631288ef032db9e7c075d8f
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,22:40:50.117
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,Kosei.png
Crosshair Scale:,0.8
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,177.772186
Resolution Scale:,100.0
